id,name,kana,area,category,lat,lng,zoom,url,image,description,電話番号,住所,アクセス,営業時間,定休日,料金,決済方法,駐車場,駐車場：大型バスの駐車,ウェブサイト,駐車場：台数,関連資料,駐車場：備考,備考,オンライン予約,メールアドレス
1193,福井県立恐竜博物館,ふくいけんきょうりゅうはくぶつかん,"永平寺・奥越,勝山市","恐竜,歴史・文化・史跡,博物館・美術館・資料館",36.0836435,136.5066581,16,https://www.fuku-e.com/spot/detail_1193.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1193/1193_10_l.jpg,画像提供：＜福井県立恐竜博物館提供＞恐竜化石の宝庫として全国的にその名が知られている福井県勝山市にある、世界有数の規模の博物館です。広大な無柱空間には、所狭しと恐竜骨格や化石・標本、ジオラマ、復元模型などが展示されており、大迫力の恐竜を間…,福井県立恐竜博物館 0779-88-0001,福井県勝山市村岡町寺尾51-11,えちぜん鉄道勝山駅からコミュニティバスにて約15分またはタクシーにて約10分/中部縦貫自動車道勝山ICから車で約10分,"9～17時(入館は16時30分まで)
※GWおよび夏休み期間は8時30分～18時(入館は17時30分まで)",第2、第4水曜日(祝日の時は翌日が休館、夏休み期間は無休)および年末年始(12月31日、1月1日) ただし、展示替えや施設点検のための臨時休館日有(詳細はＨＰまたは電話にてご確認ください),"一般　１，０００円
一般（団体）８００円
一般（年間パスポート）３，０００円

高校生・大学生　８００円
高校生・大学生（団体）６４０円
高校生・大学生（年間パスポート）２，４００円

小学生・中学生　５００円
小学生・中学生（団体）４００円
小学生・中学生（年間パスポート）１，５００円

７０歳以上　５００円
７０歳以上（団体）４００円
７０歳以上（年間パスポート）１，５００円
※小学校就学前の始期に達するまでの者については無料
※常設展３０人以上の場合に団体料金を適用
※化石研究展示は定員数が少ないため団体料金の設定なし",,あり,,"http://www.dinosaur.pref.fukui.jp/,https://www.fuku-e.com/feature/kyouryu,https://www.dinosaur.pref.fukui.jp/guide/access.html",1500,,,リニューアル改修工事に伴い、2022年12月～2023年夏のリニューアルオープンまで臨時休館しています。,https://www.dinosaur.pref.fukui.jp/guide/ticket.html,
1594,かつやまディノパーク,かつやまでぃのぱーく,"永平寺・奥越,勝山市",恐竜,36.08459163981743,136.50492377536318,17,https://www.fuku-e.com/spot/detail_1594.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1594/1594_2_l.jpg,平成27年にかつやま恐竜の森にオープンした新たなアミューズメント施設「かつやまディノパーク」。総面積は1.7ヘクタール、全長約460ｍのウォークスルーで味わえる冒険アトラクションになっていて、実物大で動き、鳴き声を上げる恐竜ロボット合計44頭が訪れ…,かつやまディノパーク　0779-88-8777,福井県勝山市村岡町寺尾51-11,"・JR福井駅下車→えちぜん鉄道 勝山永平寺線「勝山行き」乗車(約1時間)→勝山駅下車→コミュニティバスにて約15分、またはタクシーにて約10分
・JR福井駅にてJR越美北線「越前大野」または「九頭竜湖」行きに乗りかえ→越前大野駅下車→タクシーにて約20分
・北陸自動車道 福井北JCT・IC→中部縦貫自動車道 勝山IC→一般道路 … 約15分
・東海北陸自動車道 白鳥ICから中部縦貫自動車道→国道158号→国道157号経由 … 約90分","9:00〜17:00(最終入場16:30)
※季節や天候により営業時間が変更になる場合がございます。",第2・第4 水曜日 ※夏休み期間は無休　冬期間(11月下旬から3月末まで),"恐竜の棲む森＋恐竜迷路
〈個人 大人〉1000円（中学生以上）
〈個人 小人〉800円　(3歳から小学生まで)
〈団体 大人〉900円 （中学生以上）※30名以上
〈団体 小人〉700円　(3歳から小学生まで) ※30名以上

恐竜の棲む森+恐竜迷路+巨大昆虫冒険ツアー（セット券）
〈個人 大人〉1600円（中学生以上）
〈個人 小人〉1400円　(3歳から小学生まで)
〈団体 大人〉1500円 （中学生以上）※30名以上
〈団体 小人〉1300円　(3歳から小学生まで) ※30名以上",現金,あり,,http://www.dinopark.jp/index.html,960台,,,"【営業日】
4月上旬～11月下旬(ただし雪の状況による)",,
1621,大野市化石発掘体験センター「ＨＯＲＯＳＳＡ！」,おおのしかせきはっくつたいけんせんたーほろっさ,"永平寺・奥越,大野市",歴史・文化・史跡,35.8987654,136.6536383,14,https://www.fuku-e.com/spot/detail_1621.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1621/1621_1_l.jpg,ＨＯＲＯＳＳＡ！(ホロッサ)では、恐竜の歯やアンモナイト、植物、貝化石の発掘を体験できます。ＨＯＲＯＳＳＡ！では、約4億4000万年前の古生代から約1億3000万年前の中生代白亜紀前期までの約3億年に渡る地球の歴史を体験することができます。,0779-78-2070,福井県大野市角野14-3 九頭竜国民休養地,"JR九頭竜湖駅から徒歩10分/北陸自動車道福井ICから車で70分/
東海北陸道白鳥JCTから車で25分(中部縦貫道油坂峠道路経由)","9:00～16:30　
体験時間(事前予約制、定員に満たない場合は当日申し込み可)
　○土・日・祝日の場合　
　　午前の部　①　9:30～10:30　　　②11:00～12:00
　　午後の部　③13:30～14:30　　　④15:00～16:00
　
　○平日の場合
　　午前の部　10:30～11:30　午後の部　13:30～14:30　
",月曜日及び祝日の翌日,"中学生以下510円、高校生820円、一般1，020円、
同伴人(軍手・ゴーグルのみ貸出し)310円
※10名以上の団体は、中学生以下100円割引、高校生・一般200円割引
",,,,https://horossa.jp/,,,,"体験対象は4歳以上、小学生3年生以下は保護者同伴が必須、
体験に必要なハンマー・ゴーグル・軍手はセンターで用意",,mailto:horossa@mars.vipa.ne.jp
1648,道の駅　恐竜渓谷かつやま,みちのえききょうりゅうけいこくかつやま,"永平寺・奥越,勝山市","恐竜,道の駅・観光案内所等,道の駅,観光案内所,お土産店・商業施設",36.072004,136.478772,17,https://www.fuku-e.com/spot/detail_1648.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1648/1648_1_l.jpg,令和2年6月20日オープン！■カフェレストラン　黒糖とこし餡をオリジナル配合してスッキリとした甘味に仕上げた「水ようかんソフトクリーム」、若狭牛で作るメンチカツを挟む「ラプトルバーガー」は、リッチな食感と香り、あふれる肉汁が自慢です！■ショップ…,"道の駅　恐竜渓谷かつやま
TEL  0779-89-2234　FAX 0779-89-2235
",福井県勝山市荒土町松ヶ崎1-17,中部縦貫自動車道勝山IC下車後、市内方面へ車で約1分,"ショップ/9:00～17:00(時期によって変動あり)
レストラン/11:00～15:00(時期によって変動あり)",第２・第３火曜日,,,あり,11,"http://katsuyama-navi.jp/michieki/,https://www.fuku-e.com/fukutabi/detail_65.html",88,,,,,
1669,福井駅西口広場（恐竜広場）,ふくいえきにしぐちひろば　きょうりゅうひろば,"あわら・坂井・福井市,福井市",恐竜,36.062444,136.223267,18,https://www.fuku-e.com/spot/detail_1669.html,https://www.fuku-e.com/lsc/upfile/spot/0000/1669/1669_3_l.jpg,JR福井駅の西口側の「恐竜広場」では、壁面から飛び出してくるように見える横約7.3m×縦約4.6m恐竜トリックアート、壁面にある横約45m×縦約10mの巨大な恐竜イラスト、福井で生息していたフクイラプトル、フクイサウルス、フクイティタン…,0776-20-5180（福井市新幹線整備課）,福井県福井市中央1丁目,JR福井駅、えちぜん鉄道 福井駅、福井鉄道 福井駅から徒歩すぐ,,,,,,,https://www.pref.fukui.lg.jp/doc/brandeigyou/plaza.html,,,,,,
2015,スキージャム勝山 (4月下旬～10月下旬),すきーじゃむかつやま,"永平寺・奥越,勝山市",山・川・湖,36.072967,136.555549,16,https://www.fuku-e.com/spot/detail_2015.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2015/2015_1_l.jpg,大自然に囲まれた高原リゾートでバーベキューやセグウェイ体験、パークゴルフ、ものづくり体験など豊富なメニューを楽しめます。温泉、ホテルも併設しており、近隣には車で10分の福井県恐竜博物館とじっくり遊びつくすことができます。2022年グリーンシーズ…,0779-87-6109（スキージャム勝山     　）,福井県勝山市170-70,中部縦貫自動車道勝山ICから法恩寺山有料道路経由で車で20分,"夏季アクティビティーメニュー10:00~16:00 
バーベキューガーデン 11:00~17:00(予約制)","4月下旬～10月下旬は毎週水曜日定休
10月下旬～12月中旬はスキー場準備のため休館","入場料：無料
体験料
①セグウェイ　5,500円/55分/1名
②わんぱく恐竜ランド　500円/1日/1名　※3歳以下無料
③芝そり　500円/1時間/1台
④サイクリング　1,000円/1時間/1台
⑤ものづくり体験　1作品 1,500円～
⑥パークゴルフ　大人1,000円/1人/18ホール　子供600円/1人/18ホール
⑦ドッグラン　500円/1日/1頭
⑧温水プール　大人850円　子供550円　レンタル水着 大人 800円　レンタル水着 子供 500円　スイミングキャップ 200円
⑨パラグライダー　「ふわっと体験」5,500円　「タンデムフライト」13,200円（保険料別）
⑩バーベキュー　1人前3,600円～
⑫グラマラスBBQ　「サイト使用料　7,000円～　「バーベキュープラン」5,000円～
⑬バギー　体験料金　4,500円（中学生以上）同乗料金　1,500円　※WEB予約限定で特典つき！
⑭ディスクゴルフ
　●ラウンド　9ホール…1,000円/1名　　18ホール…1,800円/1名　　1日回り放題…2,000円/1名
　●レンタル　ディスク1枚…500円　　セットレンタル（ミニバッグ、ディスク3枚）…1,500円
　●スクール　ラウンドレッスン…3,000円/1名（9ホールラウンド料込、レンタル別）
⑮カヤック　2人乗り　1艇　2,500円　1人乗り　1艇　1,500円",,あり,,"http://www.skijam.jp/,https://www.jamsports.jp/,https://www.skijam.jp/green/lp/bbq/",3400,,,,"https://www.jalan.net/kankou/spt_18206ca3470058112/activity_plan/,https://skijam.resv.jp/reserve/calendar.php?x=1650588081,https://rado-op.jp/detail/18/null",
2018,どきどき恐竜発掘ランド,どきどききょうりゅうはっくつらんど,"永平寺・奥越,勝山市",恐竜,36.083073,136.509382,16,https://www.fuku-e.com/spot/detail_2018.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2018/2018_4_l.jpg,勝山は日本を代表する恐竜化石発掘のまち。発掘現場から運ばれた岩で道具を使って発掘体験！貝や植物の化石はもちろん、運がよければ、まさしく恐竜の化石を探し当てることができます。どんな化石が出てくるかな。ワクワクドキドキ。毎日行っていますので親…,0779-88-8777（公園管理事務所）,福井県勝山市村岡町寺尾51-11,"・JR福井駅下車→えちぜん鉄道 勝山永平寺線「勝山行き」乗車(約1時間)→勝山駅下車→コミュニティバスにて約15分、またはタクシーにて約10分
・JR福井駅にてJR越美北線「越前大野」または「九頭竜湖」行きに乗りかえ→越前大野駅下車→タクシーにて約20分
・北陸自動車道 福井北JCT・IC→中部縦貫自動車道 勝山IC→一般道路 … 約15分
・東海北陸自動車道 白鳥ICから中部縦貫自動車道→国道158号→国道157号経由 … 約90分","3月下旬~11月中旬

★開催時間
1回目 9:30~
2回目 11:00~
3回目 13:30~
4回目 15:00~
(季節によって1日に行われる発掘体験の回数が変わります)
*予約制（当日空きがあれば参加可能）
詳しくはホームページでご確認ください",恐竜博物館休館日(第2，4水曜日)、体験会場整備日,入場料：かつやま恐竜の森公園へは無料 / 体験料金：4歳～中学生　530円(430円)、高校生 850円(630円)、大人　1050円(850円) ※(　)内は10名以上の団体料金,現金　クレジットカード　電子マネー,あり,,http://www.kyoryunomori.net/,990台(公園駐車場）,,,,,
2086,野外恐竜博物館　,やがいきょうりゅうはくぶつかん,"永平寺・奥越,勝山市","公共交通機関で行ける,ガイドあり",36.0824388,136.5068117,16,https://www.fuku-e.com/spot/detail_2086.html,https://www.fuku-e.com/lsc/upfile/spot/0000/2086/2086_2_l.jpg,野外恐竜博物館は、日本最大の恐竜化石発掘現場である勝山市北谷町に2014年7月にオープンしました。野外恐竜博物館は、「観察広場」「展示場」「化石発掘体験広場」の3つのゾーンにわかれています。観察広場では、恐竜化石を発掘している現場を間近に見学で…,0779-88-0001（福井県立恐竜博物館）,福井県勝山市村岡町寺尾51-11,すべて恐竜博物館前から専用バスによるツアー形式で行います。,"4月下旬から11月上旬 

※天候やその他の影響によりツアーが中止になる場合がありますので､あらかじめご了承ください｡",休館日は、恐竜博物館本館に準じます。 ※4月、5月、6月、9月、10月の第2・4水曜日および7月の第2水曜日,"個人:大人/1,300円　高校・大学生/1,100円　小・中学生/650円　70歳以上/650円
団体:大人/1,040円　高校・大学生/880円　 小・中学生/520円　70歳以上/520円
※未就学児は無料です。",,,,http://www.dinosaur.pref.fukui.jp/visit/fieldstation,,,,"■お持ちいただきたいもの
・軍手または手袋
・マスク
・飲み物(現地では自動販売機や冷水機等はありません)
・雨具(雨天でも実施することがあります)
・虫よけスプレー等(特に夏場、必要に応じて)
■服装について
・汚れてもよい、動きやすい服装(長袖、長ズボンが望ましい)
・上着(春や秋の場合の寒さ対策として)
■靴について
・運動靴(動きやすさや、ケガ防止のため)
◎発掘体験で使用するハンマー、タガネ、ゴーグルは野外恐竜博物館で準備します。",,
4569,泰澄の杜,たいちょうのもり,"丹南,越前町",温泉,35.9975127,136.0935598,16,https://www.fuku-e.com/spot/detail_4569.html,https://www.fuku-e.com/lsc/upfile/spot/0000/4569/4569_1_l.jpg,自然とのふれあいの里「泰澄の杜」は、素晴らしい自然に囲まれた温泉宿泊施設です。春夏秋冬四季折々の自然とふれあえる環境のなかで、泰澄の杜の自慢の温泉に入って日頃の疲れを癒して下さい。テラス付客室、テラス付き恐竜ルーム(1室限定)を新設しました。…,0778-34-2322,福井県越前町小倉88-55-1,JR福井駅から京福バス織田行泰澄の杜下車,"≪日帰り温泉≫
8:00～22:00（最終受付21:00）","毎週火曜日（祝日の場合は営業）
※8月9日、8月16日は営業","≪日帰り温泉≫
大人 520円
小学生 310円
毎週金曜レディースデ― （女性）310円",,あり,,http://taichou-no-mori.jp/,,,,,https://fuku-e.tabi-kura.com/dom/h/h115393.html?cp=2,mailto:front@taichou-no-mori.jp
4708,旅館　明石,りょかんあかし,"丹南,越前町",温泉,35.9241579,135.9982323,15,https://www.fuku-e.com/spot/detail_4708.html,https://www.fuku-e.com/lsc/upfile/spot/0000/4708/4708_4_l.jpg,福井県観光の公式サイト。恐竜や福井ゆかりの幕末偉人から温泉・宿泊情報、おろしそば、ソースカツ丼、越前ガニなどのグルメ情報も掲載。桜、海水浴、花火、紅葉、スキー・スノボなど季節・イベント情報も満載！福井の旅に役立つ情報をたっぷりお届けします！,0778-37-0880,福井県越前町厨71-280-1,,,,"4月～10月　8,800円～
11月～3月　33,000円～",,あり,,http://www.mjnet.ne.jp/akashi/,,,,,https://fuku-e.tabi-kura.com/dom/h/h007607.html?cp=2,
